date,ticker,score,rsi,price,price_future,stock_return_pct,spy_return_pct,alpha_pct
2024-10-23,SOUN,3,58.5,4.98,6.44,29.32,2.16,27.15
2024-10-30,SOUN,3,59.1,5.45,7.88,44.59,3.24,41.34
2024-11-13,SOUN,3,57.7,6.27,13.67,118.02,1.2,116.83
2024-11-27,SOUN,3,57.5,7.88,23.95,203.93,-0.3,204.24
2025-01-14,SOUN,2,25.8,12.79,13.97,9.23,3.64,5.59
2025-05-16,SOUN,3,61.8,11.19,9.72,-13.14,1.43,-14.56
2025-07-16,SOUN,3,67.2,11.78,16.5,40.07,3.31,36.76
2025-09-04,SOUN,2,29.8,13.29,17.84,34.24,3.38,30.85
2025-09-11,SOUN,3,65.7,14.58,18.58,27.43,2.34,25.09
2025-09-18,SOUN,3,69.7,15.63,20.76,32.82,0.03,32.79
2025-09-25,SOUN,3,61.8,16.35,18.24,11.56,2.08,9.48
2025-10-09,SOUN,3,65.0,18.58,14.23,-23.41,-0.13,-23.29
2024-07-23,BBAI,3,56.3,1.54,1.33,-13.64,0.89,-14.52
2024-09-18,BBAI,3,49.3,1.56,1.75,12.18,4.04,8.14
2024-10-16,BBAI,3,58.8,1.75,1.71,-2.29,2.56,-4.84
2024-10-23,BBAI,3,55.7,1.6,2.09,30.62,2.16,28.46
2024-11-13,BBAI,3,52.9,1.71,2.66,55.56,1.2,54.36
2024-11-20,BBAI,3,67.6,2.09,2.82,34.93,-0.75,35.67
2024-11-27,BBAI,3,62.6,2.15,4.21,95.81,-0.3,96.12
2024-12-12,BBAI,3,56.3,2.66,3.18,19.55,-3.34,22.89
2024-12-27,BBAI,3,58.7,4.21,3.64,-13.54,1.14,-14.68
2025-01-06,BBAI,3,66.9,4.3,7.11,65.35,1.49,63.86
2025-01-22,BBAI,3,46.0,4.44,7.51,69.14,0.65,68.49
2025-02-20,BBAI,3,66.8,7.51,3.0,-60.05,-7.35,-52.7
2025-05-16,BBAI,3,52.8,3.67,4.14,12.81,1.43,11.38
2025-05-23,BBAI,3,60.5,3.64,5.23,43.68,5.09,38.59
2025-06-02,BBAI,3,60.1,3.95,6.65,68.35,4.52,63.84
2025-10-09,BBAI,3,56.9,7.49,5.66,-24.43,-0.13,-24.31
2025-10-16,BBAI,3,58.9,7.7,6.34,-17.66,1.73,-19.39
2024-05-23,BFLY,3,59.4,1.03,0.94,-9.03,3.52,-12.55
2024-07-23,BFLY,3,60.9,1.12,0.92,-17.86,0.89,-18.75
2024-10-30,BFLY,3,56.6,1.84,3.29,78.8,3.24,75.56
2025-01-06,BFLY,3,64.4,4.23,4.5,6.38,1.49,4.89
2025-02-05,BFLY,3,60.1,4.5,2.89,-35.78,-5.21,-30.56
2025-02-12,BFLY,3,53.6,4.34,2.55,-41.24,-8.61,-32.64
2025-02-20,BFLY,3,57.0,4.43,2.75,-37.92,-7.35,-30.57
2025-06-09,BFLY,3,56.5,2.48,1.95,-21.37,4.37,-25.74
2025-09-25,BFLY,3,66.7,1.96,2.22,13.27,2.08,11.18
2025-10-02,BFLY,3,65.9,1.96,2.04,4.08,1.59,2.5
2025-11-06,BFLY,2,52.8,2.25,3.06,36.0,2.29,33.71
2025-11-28,BFLY,3,65.8,3.1,3.8,22.58,0.95,21.63
2025-12-05,BFLY,3,67.2,3.06,4.06,32.68,1.19,31.49
2024-07-30,NNOX,3,57.1,8.64,6.65,-22.99,3.61,-26.6
2024-11-27,NNOX,3,53.5,6.28,7.59,20.86,-0.3,21.16
2024-12-05,NNOX,3,53.7,6.24,9.97,59.78,-1.53,61.31
2024-12-12,NNOX,3,62.3,7.41,7.47,0.88,-3.34,4.22
2024-12-27,NNOX,3,45.5,7.59,7.5,-1.19,1.14,-2.33
2025-06-09,NNOX,3,51.4,5.52,5.21,-5.62,4.37,-9.99
2025-10-23,NNOX,3,53.2,4.09,3.45,-15.65,-2.86,-12.79
2024-11-20,XONE,3,63.2,47.01,47.2,0.41,-0.75,1.16
2024-11-27,XONE,3,64.3,47.05,47.27,0.47,-0.3,0.78
2024-11-13,OUST,3,60.5,9.11,9.14,0.33,1.2,-0.87
2024-11-20,OUST,3,66.7,8.88,10.42,17.34,-0.75,18.09
2024-11-27,OUST,3,61.6,9.55,12.49,30.79,-0.3,31.09
2024-12-19,OUST,3,54.2,10.42,10.77,3.36,3.82,-0.46
2024-12-27,OUST,3,62.5,12.49,9.46,-24.26,1.14,-25.4
2025-06-02,OUST,3,63.0,12.79,21.64,69.19,4.52,64.68
2025-07-01,OUST,3,63.2,21.64,22.49,3.93,2.72,1.21
2025-07-16,OUST,3,65.8,29.03,33.11,14.05,3.31,10.74
2025-08-13,OUST,3,61.3,33.11,30.73,-7.19,1.98,-9.16
2025-08-20,OUST,3,64.0,29.56,34.72,17.46,3.78,13.67
2025-09-04,OUST,2,25.5,28.34,28.4,0.21,3.38,-3.17
2025-09-18,OUST,3,61.7,34.72,31.52,-9.22,0.03,-9.25
2025-10-09,OUST,3,38.2,30.85,24.13,-21.78,-0.13,-21.66
2025-10-16,OUST,3,57.1,31.52,22.5,-28.62,1.73,-30.34
2025-10-30,OUST,2,56.2,32.33,22.96,-28.98,0.52,-29.51
2026-01-21,OUST,3,66.1,25.29,19.08,-24.56,-0.13,-24.42
2024-10-09,INVZ,3,57.6,0.8,0.64,-19.52,2.41,-21.93
2024-12-19,INVZ,3,65.6,1.05,1.89,80.0,3.82,76.18
2025-05-09,INVZ,3,67.2,0.78,0.93,19.1,6.26,12.84
2025-05-16,INVZ,3,69.3,0.99,0.93,-5.38,1.43,-6.8
2025-07-09,INVZ,3,68.1,1.6,1.51,-5.63,1.4,-7.02
2025-07-16,INVZ,3,64.8,1.63,1.58,-3.07,3.31,-6.38
2025-07-23,INVZ,3,68.5,1.91,1.64,-14.14,0.61,-14.75
2025-09-11,INVZ,3,60.6,1.85,2.16,16.76,2.34,14.42
2025-09-18,INVZ,3,61.2,1.97,2.14,8.63,0.03,8.6
2025-10-02,INVZ,3,61.0,2.12,1.89,-10.85,1.59,-12.43
2025-10-09,INVZ,3,56.6,2.16,1.66,-23.15,-0.13,-23.02
2025-10-16,INVZ,3,63.9,2.14,1.38,-35.51,1.73,-37.24
2024-05-23,LIDR,3,63.7,2.79,2.1,-24.73,3.52,-28.25
2024-05-31,LIDR,3,55.8,3.38,1.96,-42.01,3.74,-45.75
2025-01-06,LIDR,3,68.1,2.33,0.88,-62.27,1.49,-63.76
2025-05-16,LIDR,3,44.2,0.71,0.82,16.57,1.43,15.15
2025-05-23,LIDR,3,57.1,0.79,0.78,-0.25,5.09,-5.34
2025-06-09,LIDR,3,62.8,0.8,1.18,48.43,4.37,44.05
2025-06-16,LIDR,3,56.4,0.82,1.06,28.8,3.88,24.92
2025-07-01,LIDR,3,56.9,0.98,3.51,258.9,2.72,256.17
2025-07-09,LIDR,3,69.4,1.18,2.42,105.08,1.4,103.69
2025-01-14,STEM,3,63.4,16.72,9.72,-41.87,3.64,-45.5
2025-01-29,STEM,2,26.4,12.1,8.84,-26.94,-2.78,-24.16
2025-02-20,STEM,3,60.2,13.14,8.6,-34.55,-7.35,-27.2
2025-05-16,STEM,3,67.8,10.86,9.4,-13.44,1.43,-14.87
2025-06-02,STEM,2,25.0,9.58,6.36,-33.61,4.52,-38.13
2025-06-09,STEM,3,61.2,12.14,8.67,-28.58,4.37,-32.96
2025-07-30,STEM,3,61.9,14.24,16.25,14.12,1.92,12.2
2025-08-20,STEM,3,66.4,16.47,17.13,4.01,3.78,0.22
2025-09-18,STEM,3,58.7,17.13,25.91,51.26,0.03,51.22
2025-09-25,STEM,3,68.8,19.41,20.7,6.65,2.08,4.56
2025-10-02,STEM,3,68.9,21.59,16.94,-21.54,1.59,-23.12
2025-10-09,STEM,3,64.1,22.98,17.33,-24.59,-0.13,-24.46
2025-10-16,STEM,3,67.0,25.91,16.5,-36.32,1.73,-38.04
2026-01-21,STEM,3,65.6,18.67,11.47,-38.56,-0.13,-38.43
2024-11-27,ARRY,3,57.8,7.0,6.03,-13.86,-0.3,-13.55
2025-01-22,ARRY,2,53.4,6.39,6.9,8.07,0.65,7.42
2025-01-29,ARRY,3,53.0,7.15,6.55,-8.39,-2.78,-5.61
2025-05-23,ARRY,3,66.0,6.88,6.37,-7.41,5.09,-12.5
2025-06-16,ARRY,3,68.7,7.96,7.04,-11.56,3.88,-15.44
2025-07-09,ARRY,3,52.6,7.7,5.73,-25.58,1.4,-26.98
2025-10-02,ARRY,3,65.9,8.76,8.39,-4.22,1.59,-5.81
2025-10-09,ARRY,3,61.6,9.09,8.37,-7.92,-0.13,-7.79
2025-10-16,ARRY,3,53.9,8.77,7.6,-13.29,1.73,-15.02
2026-01-21,ARRY,3,57.2,10.22,10.93,6.95,-0.13,7.08
2025-08-27,BEEM,3,69.4,2.8,2.65,-5.36,2.05,-7.41
2025-09-18,BEEM,3,56.4,3.04,3.16,3.95,0.03,3.92
2025-09-25,BEEM,3,53.6,2.65,2.87,8.3,2.08,6.22
2025-10-02,BEEM,3,62.1,2.91,2.58,-11.34,1.59,-12.93
2025-10-09,BEEM,3,63.9,3.34,2.22,-33.53,-0.13,-33.41
2025-10-16,BEEM,3,62.1,3.16,1.81,-42.72,1.73,-44.45
2025-05-16,MAXN,3,58.3,3.75,3.35,-10.67,1.43,-12.09
2025-07-23,MAXN,3,62.9,4.39,3.9,-11.16,0.61,-11.78
2025-07-30,MAXN,3,53.8,4.34,3.79,-12.67,1.92,-14.59
